,title,price,rating,reviews,market,link,req
23,"Кружка с принтом и приколом, мем Все отлично, для чая и кофе, керамическая 330 мл",371,4.9,553,ozon,https://www.ozon.ru/product/kruzhka-s-printom-i-prikolom-mem-vse-otlichno-dlya-chaya-i-kofe-keramicheskaya-330-ml-1692383813/?at=PjtJzpAOXcQ83VgQU8rNmJxip1w1LzCJNnD5AHB6qBL9,Кружка
24,"Кружка большая для чая и кофе, 500 мл",471,4.9,286,ozon,https://www.ozon.ru/product/kruzhka-bolshaya-dlya-chaya-i-kofe-500-ml-1796069392/?at=WPtNrJw2qtz6NPqGu41x4yyt4EWG6wcJkzxOqHKEpZww,Кружка
25,"Кружка Только моя кружка, 330 мл., зеленый",284,4.9,3123,ozon,https://www.ozon.ru/product/kruzhka-tolko-moya-kruzhka-330-ml-zelenyy-1694562753/?at=Rlty42PJWTqNvwORf6pPVLviJ1NKWVcWXk0lWt4Zkrrx,Кружка
26,"Кружка керамическая, объем 280 мл, Доляна ""Coffee break""",200,4.9,143,ozon,https://www.ozon.ru/product/kruzhka-keramicheskaya-obem-280-ml-dolyana-coffee-break-507166206/?at=NOtwk45A3c01oRW2IoWkqOpf1zZYQwFWLgX1Yuo094zl,Кружка
27,"Кружка ""Nancy Line"" из костяного фарфора 360 мл, цвет белый/синий",151,4.7,42,ozon,https://www.ozon.ru/product/kruzhka-nancy-line-iz-kostyanogo-farfora-360-ml-tsvet-belyy-siniy-1391365585/?at=VvtzqGj7ySrAQnnDFm4X5MgHLnk4jmhvk1k3NfL3DZBX,Кружка
28,"Кружка фарфоровая Nordic, 300 мл ATMOSPHERE of art",288,4.9,1258,ozon,https://www.ozon.ru/product/kruzhka-farforovaya-nordic-300-ml-atmosphere-of-art-695106210/?at=lRt6RQqyEIVJQw9rTQML1E4cv3LLjNTj5VV01h0nkG1o,Кружка
29,"Полюс Принт Кружка ""Кошки"", 330 мл, 1 шт",273,4.9,1431,ozon,https://www.ozon.ru/product/polyus-print-kruzhka-koshki-330-ml-1-sht-712922629/?at=vQtrwQ0G8hrQ59kNCL6E055TLDjGlJfOoWmROSKoqNg5,Кружка
30,Кружка с мемом Грустный хомяк не выспался для чая,315,5.0,42,ozon,https://www.ozon.ru/product/kruzhka-s-memom-grustnyy-homyak-ne-vyspalsya-dlya-chaya-1764943956/?at=vQtrwQ0G8hVAEJ4vFGZlXmYS4JO6D8S9y6DZCon4KXN,Кружка
32,"Полюс Принт Кружка ""Я и мои жертвы"", 330 мл, 1 шт",273,4.9,2062,ozon,https://www.ozon.ru/product/polyus-print-kruzhka-ya-i-moi-zhertvy-330-ml-1-sht-1310239540/?at=nRtr98pzDh0KzJ2mSK1y74zcDMZ0znhEV035DfnNA0z5,Кружка
33,Кружка стеклянная PERFECTO LINEA Tagus с двойными стенками 430 мл (30-354400),695,4.9,136,ozon,https://www.ozon.ru/product/kruzhka-steklyannaya-perfecto-linea-tagus-s-dvoynymi-stenkami-430-ml-30-354400-1128889846/?at=Eqtk4EomxFBJ8K86tGD8xk5IKywQlAUDJKlMLf5wG4Ar,Кружка
34,"Кружка ""Японская Сакура"", 330 мл, 1 шт",478,4.9,228,ozon,https://www.ozon.ru/product/kruzhka-yaponskaya-sakura-330-ml-1-sht-1606576802/?at=08tYN10KBc9B4KX3F79GP3LTGmnyDDHVVwOpRIJDZwL8,Кружка
35,"Кружка фарфоровая ""Nature"" Bronco 400 мл",185,4.8,193,ozon,https://www.ozon.ru/product/kruzhka-farforovaya-nature-bronco-400-ml-828615482/?at=OgtE1WrJxc9KzXQJulMzm0NuvXLOWLhBzqoXKHOvBEYp,Кружка
36,"Кружка керамическая Lefard ""Веселый Смайлик"" 300 мл., 9 х 8,2 см",199,4.8,847,ozon,https://www.ozon.ru/product/kruzhka-keramicheskaya-lefard-veselyy-smaylik-300-ml-9-h-8-2-sm-1579077309/?at=K8tZ7VxlWcm09gpnFn6gYLNIl4ZOAzHNr7Xn1iqpYvWP,Кружка
37,Кружка фарфоровая Lefard 360 мл,183,4.8,15,ozon,https://www.ozon.ru/product/kruzhka-farforovaya-lefard-360-ml-1399727144/?at=oZt62OpMYI9JBN4pcQzK6DDhAmV7yNsRkXZ6ZC8wLLmJ,Кружка
38,"Top-Fun Кружка, 330 мл, 1 шт",315,4.9,3280,ozon,https://www.ozon.ru/product/top-fun-kruzhka-330-ml-1-sht-1703523927/?at=A6tGpkJgOcmoL9yohl74YO1f0vv6l2SNwpL7phxw0oDw,Кружка
39,"Кружка ""Внимание"" керамическая для чая с прикольным принтом 330 мл, 1шт",306,4.9,2848,ozon,https://www.ozon.ru/product/kruzhka-vnimanie-keramicheskaya-dlya-chaya-s-prikolnym-printom-330-ml-1sht-898297970/?at=08tYN10KBcq0xWl7fjBkz9MiM0QvL3I5VE4g1UJog5Ox,Кружка
40,"Полюс Принт Кружка ""ЪУЪ"", 330 мл, 1 шт",256,4.9,1312,ozon,https://www.ozon.ru/product/polyus-print-kruzhka-u-330-ml-1-sht-1310280424/?at=08tYN10KBc1DpJZXu8RQyX5C3YvRw3FoR4AmVH1YK7K5,Кружка
42,"Кружка ""Кху Ям Мой любимый древнебуддистский философ, который проповедовал спокойствие и невозмутимость"", 330 мл, 1 шт",364,4.9,828,ozon,https://www.ozon.ru/product/kruzhka-khu-yam-moy-lyubimyy-drevnebuddistskiy-filosof-kotoryy-propovedoval-spokoystvie-787379446/?at=NOtwk45A3cLm25pMC2gGz7Et45OOOxsMZE1jqtOBxRww,Кружка
